epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2841,1.82222,3.53927,1.74015,0.33681,0.479,0.36936,0.17651,1.66927,2.25985,1.66385,0.000300851,0.000300851,0.000300851
2,49.8589,1.71094,2.4586,1.58255,0.61181,0.55623,0.62646,0.32076,1.65917,1.82669,1.59461,0.000591895,0.000591895,0.000591895
3,72.7161,1.68172,2.03087,1.55036,0.62215,0.64739,0.69865,0.35767,1.65203,1.68853,1.63581,0.00087094,0.00087094,0.00087094
4,95.292,1.65164,1.81822,1.54147,0.67307,0.68055,0.72782,0.379,1.63495,1.47012,1.61613,0.000855005,0.000855005,0.000855005
5,117.842,1.6061,1.59703,1.50887,0.77464,0.66656,0.75713,0.37565,1.69567,1.39702,1.64174,0.000837007,0.000837007,0.000837007
6,140.287,1.57866,1.47054,1.48793,0.79155,0.71665,0.7978,0.44344,1.62027,1.25078,1.60232,0.000819009,0.000819009,0.000819009
7,169.045,1.53463,1.35944,1.47162,0.78009,0.78897,0.868,0.48471,1.52415,1.20068,1.54114,0.000801011,0.000801011,0.000801011
8,199.573,1.52651,1.31284,1.45483,0.8154,0.78116,0.8602,0.4883,1.53991,1.10758,1.51139,0.000783013,0.000783013,0.000783013
9,229.147,1.49034,1.20086,1.42713,0.84838,0.82398,0.89418,0.51392,1.49631,1.03092,1.47559,0.000765014,0.000765014,0.000765014
10,259.078,1.47894,1.16448,1.41208,0.83457,0.82577,0.88614,0.50949,1.50124,0.99381,1.48751,0.000747016,0.000747016,0.000747016
11,288.74,1.45753,1.12125,1.40741,0.88718,0.85198,0.91946,0.53094,1.51655,0.94377,1.49209,0.000729018,0.000729018,0.000729018
12,318.766,1.45326,1.09867,1.3923,0.86217,0.85031,0.92315,0.54203,1.44672,0.93152,1.46566,0.00071102,0.00071102,0.00071102
13,348.469,1.43525,1.06986,1.38259,0.85017,0.81561,0.88423,0.50197,1.51495,0.95049,1.50539,0.000693022,0.000693022,0.000693022
14,378.272,1.39308,1.00284,1.35669,0.90883,0.83079,0.92475,0.54323,1.45994,0.87697,1.46454,0.000675023,0.000675023,0.000675023
15,407.989,1.38599,0.98868,1.35494,0.86783,0.85374,0.91471,0.54751,1.47708,0.89658,1.47693,0.000657025,0.000657025,0.000657025
16,437.763,1.38193,0.98872,1.34885,0.87684,0.88747,0.92788,0.5469,1.43765,0.82897,1.45392,0.000639027,0.000639027,0.000639027
17,469.851,1.36609,0.93284,1.33616,0.90724,0.87834,0.93757,0.55818,1.48598,0.84666,1.4587,0.000621029,0.000621029,0.000621029
18,503.739,1.35107,0.94283,1.33016,0.88141,0.87621,0.9273,0.56785,1.43727,0.81375,1.46637,0.000603031,0.000603031,0.000603031
