epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9425,1.84248,3.96268,1.80062,0.13034,0.29982,0.18037,0.08355,1.69434,2.82358,1.76364,0.00330969,0.00330969,0.00330969
2,52.0466,1.72373,2.95744,1.63732,0.47736,0.51003,0.49145,0.24107,1.70874,2.12544,1.74527,0.00662987,0.00662987,0.00662987
3,75.1017,1.75413,2.51797,1.63683,0.64401,0.42851,0.51423,0.24703,1.72577,2.1278,1.73249,0.00993685,0.00993685,0.00993685
4,98.0068,1.75248,2.29434,1.59699,0.41329,0.42327,0.34904,0.16266,1.91331,3.07736,1.83083,0.0099406,0.0099406,0.0099406
5,120.664,1.72403,2.07569,1.59587,0.60298,0.55774,0.57741,0.29481,1.72331,1.91848,1.66586,0.0099208,0.0099208,0.0099208
6,143.169,1.68522,1.86133,1.55606,0.71674,0.55349,0.62541,0.29767,1.79156,1.82909,1.73244,0.009901,0.009901,0.009901
7,165.645,1.64949,1.73436,1.54325,0.65897,0.59636,0.66646,0.3132,1.82071,1.68201,1.70853,0.0098812,0.0098812,0.0098812
8,188.376,1.63298,1.61892,1.52727,0.71398,0.67878,0.74732,0.37491,1.73403,1.56174,1.65375,0.0098614,0.0098614,0.0098614
9,211.252,1.60096,1.48908,1.49847,0.77053,0.61719,0.70525,0.3809,1.62534,1.57576,1.60112,0.0098416,0.0098416,0.0098416
10,234.103,1.5877,1.42096,1.4924,0.75433,0.7135,0.79047,0.4254,1.60651,1.33339,1.56458,0.0098218,0.0098218,0.0098218
11,256.657,1.56243,1.38789,1.48778,0.8381,0.71224,0.80819,0.40885,1.75491,1.31269,1.69137,0.009802,0.009802,0.009802
12,279.354,1.56022,1.33633,1.47712,0.80604,0.77709,0.85231,0.47054,1.55262,1.22157,1.53854,0.0097822,0.0097822,0.0097822
13,301.989,1.55945,1.31838,1.47524,0.85796,0.72739,0.81899,0.44859,1.60523,1.33212,1.57911,0.0097624,0.0097624,0.0097624
14,324.662,1.52387,1.22793,1.45263,0.83713,0.72957,0.82097,0.43526,1.63937,1.2908,1.63316,0.0097426,0.0097426,0.0097426
15,347.316,1.51621,1.21035,1.44009,0.83754,0.72426,0.85061,0.48491,1.55297,1.13711,1.52648,0.0097228,0.0097228,0.0097228
16,369.93,1.50335,1.19722,1.42855,0.81941,0.75511,0.8511,0.48153,1.57482,1.18711,1.54538,0.009703,0.009703,0.009703
17,392.261,1.49652,1.15019,1.42664,0.84518,0.8151,0.89534,0.5116,1.49658,1.02267,1.50566,0.0096832,0.0096832,0.0096832
18,414.828,1.47179,1.14921,1.41137,0.84252,0.75865,0.85158,0.48435,1.53682,1.11088,1.51365,0.0096634,0.0096634,0.0096634
19,437.403,1.46978,1.10819,1.41535,0.85619,0.82866,0.89871,0.51705,1.49617,0.99459,1.53306,0.0096436,0.0096436,0.0096436
20,459.992,1.46214,1.09464,1.40236,0.89239,0.82219,0.90819,0.52014,1.53464,0.97738,1.5024,0.0096238,0.0096238,0.0096238
21,482.463,1.45273,1.0725,1.39599,0.87322,0.85765,0.91445,0.5477,1.47983,0.89181,1.47438,0.009604,0.009604,0.009604
22,504.901,1.44339,1.05002,1.38851,0.88937,0.83304,0.90577,0.51543,1.53474,0.95761,1.52776,0.0095842,0.0095842,0.0095842
23,527.508,1.43363,1.03796,1.3891,0.89327,0.80223,0.8863,0.52161,1.47327,0.9376,1.47418,0.0095644,0.0095644,0.0095644
24,550.003,1.42254,0.99897,1.38226,0.91084,0.83141,0.91342,0.53974,1.48892,0.88494,1.4863,0.0095446,0.0095446,0.0095446
25,572.405,1.42013,1.0121,1.36543,0.882,0.87312,0.92719,0.54703,1.4885,0.87345,1.48501,0.0095248,0.0095248,0.0095248
26,594.931,1.41829,1.00267,1.36874,0.88194,0.82681,0.90221,0.5159,1.52251,0.91522,1.5222,0.009505,0.009505,0.009505
27,617.237,1.41312,0.98042,1.37152,0.86864,0.84547,0.89609,0.52868,1.50479,0.89018,1.47695,0.0094852,0.0094852,0.0094852
28,639.776,1.39807,0.97904,1.36125,0.85489,0.87051,0.91644,0.52374,1.51537,0.87896,1.51488,0.0094654,0.0094654,0.0094654
29,662.188,1.38473,0.94755,1.35798,0.88323,0.87328,0.92819,0.55635,1.46308,0.81813,1.47782,0.0094456,0.0094456,0.0094456
30,684.638,1.37786,0.94683,1.34786,0.8972,0.84357,0.91345,0.55074,1.4405,0.8449,1.45863,0.0094258,0.0094258,0.0094258
31,707.167,1.37528,0.93508,1.34291,0.90904,0.84704,0.92456,0.55758,1.45577,0.83489,1.4949,0.009406,0.009406,0.009406
32,729.766,1.37162,0.92511,1.33776,0.86669,0.8427,0.90135,0.54028,1.47266,0.87679,1.467,0.0093862,0.0093862,0.0093862
33,752.234,1.36462,0.9072,1.33167,0.91205,0.86159,0.92999,0.56391,1.4415,0.82782,1.47981,0.0093664,0.0093664,0.0093664
34,774.686,1.36568,0.90336,1.33092,0.92834,0.83797,0.93064,0.55687,1.45683,0.7981,1.47014,0.0093466,0.0093466,0.0093466
35,797.152,1.35815,0.88957,1.326,0.87671,0.87479,0.92691,0.55311,1.4582,0.82165,1.44124,0.0093268,0.0093268,0.0093268
36,819.781,1.35302,0.8838,1.3241,0.89111,0.89917,0.93521,0.57389,1.44027,0.76984,1.45812,0.009307,0.009307,0.009307
37,842.271,1.33804,0.86931,1.3117,0.89564,0.86684,0.92944,0.56474,1.45279,0.80546,1.46114,0.0092872,0.0092872,0.0092872
38,864.811,1.32431,0.88422,1.31393,0.90848,0.87752,0.94582,0.57638,1.44996,0.77298,1.46115,0.0092674,0.0092674,0.0092674
39,887.377,1.31628,0.87386,1.29887,0.89826,0.89627,0.94259,0.56511,1.44707,0.78128,1.45801,0.0092476,0.0092476,0.0092476
40,909.922,1.3117,0.85959,1.30423,0.89441,0.88717,0.93486,0.56421,1.46011,0.79414,1.45963,0.0092278,0.0092278,0.0092278
41,932.4,1.30619,0.83977,1.30048,0.90212,0.89531,0.94515,0.57094,1.45043,0.77181,1.45265,0.009208,0.009208,0.009208
42,954.878,1.31036,0.83644,1.30691,0.8947,0.86238,0.92412,0.56439,1.45162,0.76128,1.45397,0.0091882,0.0091882,0.0091882
43,977.387,1.30804,0.82605,1.28969,0.91182,0.88986,0.94068,0.56769,1.45614,0.7546,1.46682,0.0091684,0.0091684,0.0091684
44,999.762,1.29746,0.83348,1.2869,0.91333,0.91027,0.94939,0.58631,1.41523,0.73068,1.43224,0.0091486,0.0091486,0.0091486
45,1022.26,1.29724,0.81189,1.2972,0.89773,0.90249,0.94315,0.56982,1.45449,0.74912,1.45607,0.0091288,0.0091288,0.0091288
46,1044.63,1.29085,0.83302,1.28867,0.90106,0.8885,0.92736,0.55731,1.45759,0.75942,1.47293,0.009109,0.009109,0.009109
47,1066.96,1.28011,0.8124,1.29534,0.9364,0.89493,0.95366,0.59004,1.42243,0.72876,1.4426,0.0090892,0.0090892,0.0090892
48,1089.47,1.28124,0.80156,1.29324,0.90628,0.89117,0.94607,0.58955,1.43723,0.73017,1.45157,0.0090694,0.0090694,0.0090694
49,1111.8,1.26683,0.79577,1.26542,0.92809,0.89261,0.94881,0.58217,1.42229,0.72717,1.43329,0.0090496,0.0090496,0.0090496
50,1134.37,1.25914,0.76544,1.26808,0.93318,0.89258,0.9477,0.58324,1.43544,0.7328,1.45701,0.0090298,0.0090298,0.0090298
51,1156.77,1.268,0.78572,1.27333,0.91164,0.87816,0.93485,0.57114,1.46871,0.76833,1.46753,0.00901,0.00901,0.00901
52,1179.12,1.25406,0.77614,1.25715,0.90335,0.90238,0.93606,0.57976,1.43441,0.72295,1.43319,0.0089902,0.0089902,0.0089902
53,1201.61,1.238,0.76837,1.25815,0.93695,0.87655,0.94259,0.57802,1.46515,0.71134,1.47303,0.0089704,0.0089704,0.0089704
54,1224.02,1.26533,0.76542,1.26738,0.91674,0.90382,0.94026,0.57821,1.39925,0.71526,1.41031,0.0089506,0.0089506,0.0089506
55,1246.44,1.23347,0.75828,1.24975,0.93821,0.87114,0.94056,0.58293,1.43077,0.71907,1.44166,0.0089308,0.0089308,0.0089308
56,1268.96,1.22064,0.76014,1.25381,0.93601,0.90249,0.95681,0.59867,1.38469,0.69037,1.41119,0.008911,0.008911,0.008911
57,1291.38,1.24137,0.75823,1.25504,0.93669,0.88782,0.94711,0.58563,1.40901,0.6987,1.4306,0.0088912,0.0088912,0.0088912
58,1313.73,1.21099,0.75969,1.24433,0.94839,0.89232,0.95207,0.59374,1.41984,0.69936,1.44582,0.0088714,0.0088714,0.0088714
59,1336.24,1.239,0.74932,1.25221,0.92236,0.88029,0.94033,0.58258,1.41874,0.70042,1.44881,0.0088516,0.0088516,0.0088516
60,1358.72,1.23707,0.74642,1.24973,0.9212,0.89134,0.94071,0.58911,1.4109,0.70241,1.42424,0.0088318,0.0088318,0.0088318
61,1387.19,1.24247,0.76286,1.25675,0.92171,0.9083,0.94634,0.59126,1.39599,0.69059,1.42273,0.008812,0.008812,0.008812
62,1416.99,1.20874,0.75281,1.23603,0.94072,0.9019,0.94977,0.59517,1.4361,0.69545,1.44299,0.0087922,0.0087922,0.0087922
63,1446.02,1.21423,0.74845,1.24566,0.91056,0.8846,0.93173,0.56838,1.43126,0.73541,1.4242,0.0087724,0.0087724,0.0087724
