epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,406.486,1.79135,2.47509,1.8085,0.71287,0.51198,0.6007,0.28064,1.82156,1.90899,2.0102,0.000300851,0.000300851,0.000300851
2,851.125,1.78429,1.75481,1.78301,0.47374,0.60576,0.51775,0.2378,1.92852,2.32436,2.1483,0.000591895,0.000591895,0.000591895
3,1154.17,1.7936,1.72348,1.80424,0.60874,0.53663,0.56518,0.2509,2.01489,2.35143,2.20966,0.00087094,0.00087094,0.00087094
4,1547.69,1.76492,1.67101,1.77781,0.63748,0.53553,0.61039,0.27387,1.84906,1.9754,2.04492,0.000855005,0.000855005,0.000855005
5,1909.08,1.69551,1.52812,1.73082,0.73867,0.63889,0.74654,0.37808,1.72705,1.50064,1.88438,0.000837007,0.000837007,0.000837007
6,2345.82,1.65693,1.40548,1.69861,0.74423,0.68067,0.76047,0.3934,1.67097,1.41069,1.85901,0.000819009,0.000819009,0.000819009
7,2654.88,1.61801,1.34016,1.6656,0.74228,0.77697,0.80188,0.41088,1.69041,1.23697,1.84006,0.000801011,0.000801011,0.000801011
8,3037.69,1.60261,1.27757,1.66067,0.82543,0.75728,0.83305,0.45732,1.61503,1.10051,1.78898,0.000783013,0.000783013,0.000783013
9,3390.59,1.54832,1.16383,1.61181,0.82713,0.75902,0.84429,0.4595,1.58993,1.08657,1.74552,0.000765014,0.000765014,0.000765014
10,3829.27,1.53627,1.13863,1.60265,0.76286,0.80517,0.85385,0.48803,1.55397,1.15564,1.73544,0.000747016,0.000747016,0.000747016
11,4155.45,1.50898,1.09255,1.58689,0.82837,0.80549,0.87067,0.48967,1.55305,0.94745,1.72362,0.000729018,0.000729018,0.000729018
12,4507.84,1.5105,1.06142,1.57898,0.81763,0.82773,0.86543,0.47037,1.585,0.9596,1.75288,0.00071102,0.00071102,0.00071102
13,4888.66,1.47837,1.03674,1.55322,0.85239,0.80019,0.87704,0.50128,1.54686,0.93702,1.72719,0.000693022,0.000693022,0.000693022
14,5272.79,1.44596,0.96803,1.52555,0.84449,0.83083,0.90083,0.51144,1.53694,0.86373,1.71366,0.000675023,0.000675023,0.000675023
15,5605.65,1.41789,0.9569,1.51733,0.89062,0.83872,0.91805,0.53783,1.49383,0.83835,1.69021,0.000657025,0.000657025,0.000657025
16,6012.54,1.42107,0.95794,1.50839,0.86054,0.83219,0.91138,0.53345,1.53009,0.82382,1.69305,0.000639027,0.000639027,0.000639027
17,6360.43,1.40335,0.89724,1.49599,0.92596,0.83291,0.92625,0.55108,1.47486,0.78624,1.64929,0.000621029,0.000621029,0.000621029
18,6749.99,1.36886,0.88405,1.46923,0.91473,0.85722,0.93175,0.5546,1.49352,0.76741,1.67026,0.000603031,0.000603031,0.000603031
19,7060.58,1.3562,0.87109,1.46776,0.90638,0.88625,0.94132,0.56584,1.46542,0.7295,1.63776,0.000585032,0.000585032,0.000585032
20,7467.61,1.35209,0.84267,1.45426,0.89406,0.86338,0.92952,0.5532,1.46514,0.91984,1.66067,0.000567034,0.000567034,0.000567034
21,7875.84,1.33291,0.83203,1.44269,0.89521,0.88074,0.93306,0.56437,1.48106,0.7586,1.66431,0.000549036,0.000549036,0.000549036
22,8261.65,1.31543,0.81269,1.42945,0.92427,0.86686,0.93644,0.57636,1.44792,0.69966,1.63516,0.000531038,0.000531038,0.000531038
23,8526.8,1.3067,0.80078,1.42538,0.8959,0.86008,0.93115,0.56803,1.45946,0.70935,1.65111,0.00051304,0.00051304,0.00051304
24,8821.66,1.28102,0.75453,1.4064,0.90635,0.88041,0.94511,0.56104,1.46744,0.69469,1.65476,0.000495041,0.000495041,0.000495041
25,9155.7,1.25393,0.75343,1.37871,0.92501,0.86851,0.93649,0.56518,1.47529,0.71243,1.66472,0.000477043,0.000477043,0.000477043
26,9514.06,1.25795,0.74103,1.39245,0.89288,0.884,0.93697,0.57605,1.42743,0.70485,1.63828,0.000459045,0.000459045,0.000459045
27,9855.03,1.24157,0.72259,1.38076,0.90816,0.88557,0.94874,0.58626,1.40601,0.68052,1.60574,0.000441047,0.000441047,0.000441047
28,10180.1,1.2213,0.72086,1.36509,0.91886,0.89707,0.94831,0.58833,1.43005,0.67179,1.61938,0.000423049,0.000423049,0.000423049
29,10558,1.21721,0.69568,1.36193,0.91446,0.86783,0.94255,0.59589,1.42065,0.66798,1.61996,0.00040505,0.00040505,0.00040505
30,10931.5,1.20316,0.69804,1.34836,0.89616,0.90132,0.94353,0.58813,1.40767,0.6532,1.60629,0.000387052,0.000387052,0.000387052
31,11225.5,1.18316,0.66939,1.33399,0.91634,0.90323,0.94798,0.60294,1.38583,0.6405,1.59825,0.000369054,0.000369054,0.000369054
